Device: DDS120
State: Playing
Type: Live
Sample rate:   2.4M sps

Channel 0    Channel1
-0,072,              0,349
0,264,              0,404
0,317,              0,404
0,317,              0,409
0,321,              0,404
0,317,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,404
0,317,              0,179
0,101,              0
-0,072,              0
-0,072,              -0,005
-0,077,              0
-0,072,              0
-0,072,              -0,005
-0,077,              0
-0,072,              0
-0,072,              0
-0,072,              0
-0,072,              0
-0,072,              0,359
0,273,              0,409
0,321,              0,404
0,317,              0,409
0,321,              0,404
0,317,              0,404
0,317,              0,404
0,317,              0,409
0,321,              0,409
0,321,              0,404
0,317,              0,404
0,317,              0,404
0,317,              0,159
0,082,              0
-0,072,              0
-0,072,              0
-0,072,              0
-0,072,              0
-0,072,              -0,005
-0,077,              -0,005
-0,077,              0
-0,072,              0
-0,072,              -0,005
-0,077,              0
-0,072,              0,364
0,278,              0,404
0,317,              0,404
0,317,              0,409
0,321,              0,404
0,317,              0,409
0,321,              0,404
0,317,              0,404
0,317,              0,404
0,317,              0,409
0,321,              0,404
0,317,              0,404
0,317,              0,14
0,062,              0
-0,072,              0
-0,072,              0
-0,072,              0
-0,072,              0
-0,072,              -0,005
-0,077,              -0,005
-0,077,              0
-0,072,              0
-0,072,              0
-0,072,              0
-0,072,              0,374
0,288,              0,404
0,317,              0,404
0,317,              0,404
0,317,              0,404
0,317,              0,404
0,317,              0,404
0,317,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,404
0,317,              0,409
0,321,              0,115
0,038,              -0,01
-0,082,              -0,01
-0,082,              -0,01
-0,082,              -0,01
-0,082,              -0,01
-0,082,              -0,01
-0,082,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,015
-0,086,              -0,01
-0,082,              -0,01
-0,082,              -0,01
-0,082,              -0,005
-0,077,              -0,005
-0,077,              -0,005
-0,077,              0
-0,072,              -0,005
-0,077,              -0,005
-0,077,              0
-0,072,              0
-0,072,              0,244
0,163,              0,404
0,317,              0,404
0,317,              0,404
0,317,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,409
0,321,              0,404
0,317,              0,404
0,317,              0,339
0,254,              0
-0,072,              0
-0,072,              0
-0,072,              -0,005
-0,077,              0
-0,072,              -0,005
-0,077,              0
-0,072,              0
-0,072,              0
-0,072,              0
-0,072,              0
-0,072,              0,264
0,182,              0,404
